mreference,class_field,subclass,event,eventnumberinyear,speciesscientific,speciescommon,datefound,datecertainty,latitudewgs84,longitudewgs84,sex,length,lengthuncertain,conditionfound,examinationlevel,Year
M17/90,Cetacean,Harbour porpoise,Single,17,Phocoena phocoena,Harbour porpoise,1990-04-10,Exact,58.79436874,-2.920483351,U,NA,FALSE,unknown,not necropsied,1990
M18/90,Cetacean,Harbour porpoise,Single,18,Phocoena phocoena,Harbour porpoise,1990-05-13,Exact,57.39171982,-6.039045334,F,156,FALSE,unknown,not necropsied,1990
M22/90,Cetacean,Harbour porpoise,Single,22,Phocoena phocoena,Harbour porpoise,1990-06-07,Exact,60.52709579,-0.610899866,M,151,FALSE,freshly dead- died on beach (code 2a),necropsied,1990
M23/90,Cetacean,Harbour porpoise,Single,23,Phocoena phocoena,Harbour porpoise,1990-07-01,Unknown,60.30149078,-1.356991172,M,125,FALSE,freshly dead- died on beach (code 2a),necropsied,1990
M27/90,Cetacean,Harbour porpoise,Single,27,Phocoena phocoena,Harbour porpoise,1990-07-19,Exact,56.1280632,-3.11611414,M,137,FALSE,advanced decomposition (code 4),necropsied,1990
M30/90,Cetacean,Harbour porpoise,Single,30,Phocoena phocoena,Harbour porpoise,1990-08-01,Exact,60.27845383,-1.159211278,M,143,FALSE,freshly dead- died on beach (code 2a),necropsied,1990
M32/90,Cetacean,Harbour porpoise,Single,32,Phocoena phocoena,Harbour porpoise,1990-08-14,Exact,57.25284958,-2.034775257,F,146,FALSE,unknown,not necropsied,1990
M34/90,Cetacean,Harbour porpoise,Single,34,Phocoena phocoena,Harbour porpoise,1990-09-03,Exact,56.78693771,-2.348598003,F,146,FALSE,moderate decomposition (code 3),necropsied,1990
M36/90,Cetacean,Harbour porpoise,Single,36,Phocoena phocoena,Harbour porpoise,1990-09-14,Unknown,57.59463882,-3.846152067,U,NA,TRUE,unknown,not necropsied,1990
M38/90,Cetacean,Harbour porpoise,Single,38,Phocoena phocoena,Harbour porpoise,1990-10-21,Exact,58.95122147,-2.835994959,U,NA,FALSE,unknown,not necropsied,1990
M5/91,Cetacean,Harbour porpoise,Single,5,Phocoena phocoena,Harbour porpoise,1991-03-01,Exact,58.96274567,-2.984081507,U,NA,FALSE,unknown,not necropsied,1991
M6/91,Cetacean,Harbour porpoise,Single,6,Phocoena phocoena,Harbour porpoise,1991-03-20,Exact,56.0006752,-4.851265907,M,143,FALSE,Slight decomposition (code 2b),not necropsied,1991
M7/91,Cetacean,Harbour porpoise,Single,7,Phocoena phocoena,Harbour porpoise,1991-04-27,Exact,58.91513824,-2.986190796,U,100,TRUE,advanced decomposition (code 4),not necropsied,1991
