Source,Source_type,Source_code,Genus,Species,Common_name,Type,Year,Month,Day,Locality,Added_Z.,Registration_number,Photo_number,Notes,Sex,Phase
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,teeth,1875,,,,,Z.1990.015.019,802,note said it was macerated 1875,,
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1875,,,,,Z.1990.15.16,"882, 883",,,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1908,,,,,1908.047,"894, 895",,,
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1929,9,4,"Aberlady, East Lothian, Scotland, Northern Europe",x,1929.119,"890, 891",,,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1929,,,,x,1929.117,"892, 893","locality, but unable to read it, trompeat moos, shows up as turtle dove in online database",,
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1932,,,,,1990.015.015,"868, 869","box with 2 skeletons, disarticulated in 1932",,
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1968,1,19,"Silverknowes, Edinburgh, Midlothian, Scotland, Northern Europe",,Z.1990.15.22,"886, 887",,,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1981,10,13,"Port Gordon, Banff, Morayshire, Scotland, Northern Europe",,Z.1982.35,"875, 876",teeth are in the skull,Male,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1984,6,8,"Fife Ness, Fife, Scotland, Northern Europe",,Z.1989.23.2,"880, 881",teeth are in skull,Female,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,teeth,1988,6,1,"Derbyhaven Bay, Isle of Man, Northern Europe",,Z.1990.128.4,NA,,Female,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1989,12,6,"Scalloway, Mainland, Shetland, Scotland, Northern Europe",,Z.1990.123.1,"803, 804",10 years,Male,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1989,12,6,"Scalloway, Mainland, Shetland, Scotland, Northern Europe",,Z.1990.123.3,"809, 810",6 years,Male,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1989,12,2,"Shetland, Scotland, Northern Europe",,Z.1990.123.2,"811, 812",,Female,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1989,10,2,"27 miles SSE of Bard Head, Bressay, Shetland, Scotland, Northern Europe

",,Z.1990.123.7,"813, 814",5 years,Female,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1989,8,30,"6 miles W of Hamnavoe, West Burra, Shetland, Scotland, Northern Europe

",,Z.1990.123.6,"815, 816",2 years,Female,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1989,10,13,"13 miles SW of Scalloway, Mainland, Shetland, Scotland, Northern Europe

",,Z.1990.123.5,"817, 818",4 years,Male,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1989,8,24,"8 miles W of Hamnavoe, West Burra, Shetland, Scotland, Northern Europe

",,Z.1990.123.10,"819, 820",3 years,Male,Subadult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1989,8,24,"8 miles W of Hamnavoe Light, West Burra, Shetland, Scotland, Northern Europe",,Z.1990.123.9,"821, 822",1 year,Male,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1989,10,20,"12 miles SW of Scalloway, Mainland, Shetland, Scotland, Northern Europe",,Z.1990.123.8,"823, 824",4 years,Female,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1989,7,27,"7 miles WSW of Hamnavoe Light, West Burra, Shetland, Scotland, Northern Europe",,Z.1990.123.13,"825, 826",3 years,Female,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1989,8,24,"8 miles W of Hamnavoe Light, West Burra, Shetland, Scotland, Northern Europe",,Z.1990.123.12,"827, 828",10 years,Female,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1989,8,23,"2-3 miles W of Fitful Head, Mainland, Shetland, Scotland, Northern Europe

",,Z.1990.123.11,"829, 830",2 years,Female,Subadult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1989,7,28,"Out Skerries, Shetland, Scotland, Northern Europe",,Z.1990.123.16,"831, 832",5 years,Male,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1989,11,1,"Burra, Shetland, Scotland, Northern Europe",,Z.1990.123.15,"833, 834",9 years,Male,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1989,10,14,"10 miles WSW of Hamnavoe Light, West Burra, Shetland, Scotland, Northern Europe",,Z.1990.123.14,"835, 836",1 year,Female,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1989,7,10-11,"E of Bressay, Shetland, Scotland, Northern Europe",,Z.1990.123.18,"839, 840",9 years,Male,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1989,8,5,"St Ninian's Isle, Shetland, Scotland, Northern Europe",,Z.1990.123.17,"841, 842",8 years,Male,Adult
